period,State,Sales,Price
7/1/2021,IA,4883309,10.98
7/1/2021,ID,2859074.3,8.31
7/1/2021,IL,13283786,10.01
7/1/2021,IN,9358555.5,10.56
7/1/2021,KS,4079520,10.83
7/1/2021,KY,7059320.7,9.36
7/1/2021,LA,8769976.1,8.88
7/1/2021,MA,4759755.8,19.68
7/1/2021,MD,5991274.2,11.3
7/1/2021,ME,997652.44,13.44
7/1/2021,MI,9479864.4,13.35
7/1/2021,MN,6232704.8,11.77
7/1/2021,MO,7719025.7,11.5
7/1/2021,MS,4705324.6,9.71
7/1/2021,MT,1360478.8,10.08
7/1/2021,NC,13403786,9.68
7/1/2021,ND,1924120.7,8.99
7/1/2021,NE,3190564.6,9.46
7/1/2021,NH,987679.37,17.2
7/1/2021,NJ,7838336.6,15.04
7/1/2021,NM,2517884.3,10.71
7/1/2021,NV,4698545.9,9.41
7/1/2021,NY,13885712,17.6
7/1/2021,OH,14014129,10.05
7/1/2021,OK,6562098.5,9.11
7/1/2021,OR,4612611.5,9.16
7/1/2021,PA,13409587,10.08
7/1/2021,RI,726006.51,17.54
7/1/2021,SC,8144790.1,10.14
7/1/2021,SD,1192617.4,10.83
7/1/2021,TN,9596778,10.11
7/1/2021,TX,43056648,8.82
7/1/2021,UT,3452779.6,9.07
7/1/2021,VA,12135639,9.59
7/1/2021,VT,467433.63,16.23
7/1/2021,WA,7125181.4,8.88
7/1/2021,WI,6551209.6,11.41
7/1/2021,WV,2877005.2,8.85
7/1/2021,WY,1401373.3,8.22
6/1/2021,AK,438550.42,20.65
6/1/2021,AL,7509020,10.68
6/1/2021,AR,4093464,8.81
6/1/2021,AZ,8763973.1,11.25
6/1/2021,CA,22326897,20.26
6/1/2021,CO,5027947.6,11.38
6/1/2021,CT,2558488.2,18.16
6/1/2021,DC,878417.09,12.37
6/1/2021,DE,1034493.9,10.3
6/1/2021,FL,22179217,10.7
6/1/2021,GA,12331914,11.05
6/1/2021,HI,755387,29.61
6/1/2021,IA,4646855.8,10.47
6/1/2021,ID,2671899.4,8.38
6/1/2021,IL,12468076,10.09
6/1/2021,IN,8705447.7,10.42
6/1/2021,KS,3726857.3,10.85
6/1/2021,KY,6475918.3,8.94
6/1/2021,LA,8132478.2,9.08
6/1/2021,MA,4472300.3,18.77
6/1/2021,MD,5334859.1,11.3
6/1/2021,ME,956250.84,13.31
6/1/2021,MI,9073242.3,13.27
6/1/2021,MN,5896454,12.18
6/1/2021,MO,6968670.8,11.48
6/1/2021,MS,4168980.2,9.79
6/1/2021,MT,1212610.7,9.52
6/1/2021,NC,11707723,9.37
6/1/2021,ND,1822513.3,8.84
6/1/2021,NE,2860279.6,9.23
6/1/2021,NH,965761.77,17.1
6/1/2021,NJ,6868123.1,14.7
6/1/2021,NM,2344521,10.3
6/1/2021,NV,4100559.5,9.01
6/1/2021,NY,12040169,16.73
6/1/2021,OH,12852663,10
6/1/2021,OK,5941455.4,7.3
6/1/2021,OR,4346500.1,9.08
6/1/2021,PA,11887084,10.04
6/1/2021,RI,685682.82,17.15
6/1/2021,SC,7058509.1,10.16
6/1/2021,SD,1096081.7,10.89
6/1/2021,TN,8415934,10.03
6/1/2021,TX,38331246,8.68
6/1/2021,UT,3170781.1,8.96
6/1/2021,VA,10701902,9.26
6/1/2021,VT,448750.99,16.47
6/1/2021,WA,6932618.6,8.64
6/1/2021,WI,6200692.9,11.46
6/1/2021,WV,2616469.2,8.77
6/1/2021,WY,1300965.9,8.63
5/1/2021,AK,459629.78,20.14
5/1/2021,AL,6591840.3,10.28
5/1/2021,AR,3537663.3,8.22
5/1/2021,AZ,6831624.9,11.17
5/1/2021,CA,18502393,18.71
5/1/2021,CO,4468916.1,10.41
5/1/2021,CT,2002943.7,18.08
5/1/2021,DC,804774.76,12.55
